,id,title,release_date,budget,genres
9478,12086,Machuca,2004-02-24,1500000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10769, 'name': 'Foreign'}]"
9484,62276,Bummer,2003-08-02,700000.0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]"
9488,20912,She Hate Me,2004-07-30,8000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
9498,1392,Born into Brothels,2004-12-08,350000.0,"[{'id': 99, 'name': 'Documentary'}]"
9501,291,Riding Giants,2004-07-09,2600000.0,"[{'id': 99, 'name': 'Documentary'}]"
9507,4896,Muxmäuschenstill,2004-01-28,40000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
9510,3509,A Scanner Darkly,2006-05-25,8700000.0,"[{'id': 16, 'name': 'Animation'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]"
9511,11662,Casshern,2004-04-24,6000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]"
9519,23592,In Enemy Hands,2005-04-15,5400000.0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}, {'id': 53, 'name': 'Thriller'}]"
9522,70,Million Dollar Baby,2004-12-15,30000000.0,"[{'id': 18, 'name': 'Drama'}]"
9529,205,Hotel Rwanda,2004-09-11,17500000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]"
9530,150523,The Mahabharata,1989-09-28,334077.0,[]
9535,12597,Hellraiser: Inferno,2000-10-03,2000000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]"
9536,118,Charlie and the Chocolate Factory,2005-07-13,150000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]"
9541,421,The Life Aquatic with Steve Zissou,2004-12-10,50000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
9542,2567,The Aviator,2004-12-17,116000000.0,"[{'id': 18, 'name': 'Drama'}]"
9543,9833,The Phantom of the Opera,2004-12-08,70000000.0,"[{'id': 10402, 'name': 'Music'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
9544,6478,Beyond the Sea,2004-12-17,23000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]"
9547,693,Meet the Fockers,2004-12-22,80000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
9559,11804,White Noise,2005-01-07,10000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]"
9576,69234,The Phantom of the Opera,1990-03-18,10000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}, {'id': 10770, 'name': 'TV Movie'}]"
9579,21259,Testament,1983-11-04,1500000.0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}]"
9582,22301,Hell's Angels,1930-11-15,3950000.0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]"
9586,95466,Heart of America,2002-09-05,3000000.0,"[{'id': 18, 'name': 'Drama'}]"
9591,10630,Führer Ex,2002-08-31,6854500.0,"[{'id': 18, 'name': 'Drama'}]"
9597,25350,Imaginary Heroes,2004-09-14,10000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
9598,16442,Sergeant York,1941-07-02,1400000.0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]"
9599,7229,Ruby & Quentin,2003-10-22,27440000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]"
9603,16220,Wizards,1977-02-09,1200000.0,"[{'id': 16, 'name': 'Animation'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]"
9610,2091,The Badge,2002-09-07,6000000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]"
9611,11633,Appleseed,2004-04-17,10000000.0,"[{'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]"
9617,9947,Elektra,2005-01-13,43000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]"
9618,6439,Racing Stripes,2005-01-06,30000000.0,"[{'id': 35, 'name': 'Comedy'}]"
9619,7214,Coach Carter,2005-01-14,30000000.0,"[{'id': 18, 'name': 'Drama'}]"
9627,27429,Shivers,1975-10-10,179000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]"
9628,19610,A Star Is Born,1976-12-16,6000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]"
9629,27549,Beastmaster 2: Through the Portal of Time,1991-06-08,6000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]"
9642,11423,Memories of Murder,2003-04-24,2800000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
9643,10694,The Chase,1994-03-04,26000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]"
9645,26581,Dr. Who and the Daleks,1965-08-23,502318.0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]"
9646,342,Summer Storm,2004-09-02,2700000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
9647,613,Downfall,2004-09-08,18339750.0,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]"
9648,273,The White Sound,2001-12-31,250000.0,"[{'id': 18, 'name': 'Drama'}]"
9649,8978,Assault on Precinct 13,2005-01-19,30000000.0,"[{'id': 53, 'name': 'Thriller'}]"
9650,11637,Are We There Yet?,2005-01-20,32000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]"
9651,12142,Alone in the Dark,2005-01-28,20000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]"
9652,11096,Hide and Seek,2005-01-27,25000000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]"
9654,8968,Boogeyman,2005-02-04,20000000.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]"
9655,6961,The Wedding Date,2005-02-04,15000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
9665,30923,Alice in Wonderland,1999-02-28,21000000.0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]"
9668,11343,Salem's Lot,1979-11-17,4000000.0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]"
9677,2436,Double Dragon,1994-11-04,3500000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]"
9697,37198,Inferno,1953-08-12,1055000.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]"
9698,4935,Howl's Moving Castle,2004-11-19,24000000.0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}]"
9699,8953,Steamboy,2004-07-17,20000000.0,"[{'id': 16, 'name': 'Animation'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]"
9704,8488,Hitch,2005-02-10,70000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
9706,12228,Inside Deep Throat,2005-02-11,2000000.0,"[{'id': 36, 'name': 'History'}, {'id': 99, 'name': 'Documentary'}]"
9708,57825,Bride & Prejudice,2004-02-11,7000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]"
9709,561,Constantine,2005-02-08,100000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}]"
9710,10214,Son of the Mask,2005-02-18,84000000.0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}]"
9711,17880,Because of Winn-Dixie,2005-02-18,14000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]"
9720,18279,Frozen Land,2005-01-14,2000000.0,"[{'id': 18, 'name': 'Drama'}]"
9723,3040,Night Watch,2004-06-27,4200000.0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]"
9731,13498,Man of the House,2005-02-25,40000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 28, 'name': 'Action'}]"
9732,29993,Samson and Delilah,1949-12-21,3000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
9733,9470,Kung Fu Hustle,2004-02-10,20000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 14, 'name': 'Fantasy'}]"
9751,5204,Control,2003-11-20,500000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]"
9754,30331,Tart,2001-04-23,3300000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
9763,10012,Cursed,2005-02-25,35000000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}]"
9764,65967,Up and Down,2004-09-16,2000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10769, 'name': 'Foreign'}]"
9766,10022,The Pacifier,2005-03-04,56000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 53, 'name': 'Thriller'}]"
9767,4551,Be Cool,2005-03-04,53000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]"
9769,26,Walk on Water,2004-02-05,1400000.0,"[{'id': 18, 'name': 'Drama'}]"
9770,2026,Hostage,2005-03-10,52000000.0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]"
9771,9928,Robots,2005-03-10,75000000.0,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 878, 'name': 'Science Fiction'}]"
9773,76264,Bopha!,1993-09-16,12000000.0,"[{'id': 18, 'name': 'Drama'}]"
9779,6593,Godzilla vs. Mechagodzilla II,1993-12-11,9500000.0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10769, 'name': 'Foreign'}, {'id': 878, 'name': 'Science Fiction'}]"
9789,54380,Captains of April,2000-04-21,6105121.0,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]"
9795,33539,Once Upon a Forest,1993-06-18,13000000.0,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}]"
9804,22377,The Green Berets,1968-07-04,7000000.0,"[{'id': 10752, 'name': 'War'}, {'id': 18, 'name': 'Drama'}]"
9811,438,Cube Zero,2004-10-15,825000.0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]"
9812,24546,Into the Sun,2005-03-08,15000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
9816,11297,Save the Green Planet!,2003-04-04,3000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]"
9824,13374,Ice Princess,2005-03-17,25000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]"
9828,11638,Guess Who,2005-03-25,35000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
9829,540,D.E.B.S.,2004-01-21,3500000.0,"[{'id': 28, 'name': 'Action'}]"
9838,44634,Woman Thou Art Loosed,2004-09-30,3000000.0,"[{'id': 18, 'name': 'Drama'}]"
9850,27495,The Toolbox Murders,1978-03-15,185000.0,"[{'id': 27, 'name': 'Horror'}]"
9868,19665,The Arrow,1997-01-12,7800000.0,"[{'id': 99, 'name': 'Documentary'}, {'id': 18, 'name': 'Drama'}]"
9873,14573,Natural City,2003-05-09,6000000.0,"[{'id': 878, 'name': 'Science Fiction'}]"
9876,28448,Walker,1987-12-04,5800000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 37, 'name': 'Western'}]"
9885,47237,Intimate Affairs,2002-04-18,8000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]"
9887,17113,The Ballad of Jack and Rose,2005-03-25,1500000.0,"[{'id': 18, 'name': 'Drama'}]"
9888,187,Sin City,2005-04-01,40000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]"
9889,14177,Beauty Shop,2005-06-02,25000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
9892,7364,Sahara,2005-04-06,130000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]"
9893,11431,Fever Pitch,2005-04-06,30000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
9899,16551,Rhinestone,1984-06-22,28000000.0,"[{'id': 35, 'name': 'Comedy'}]"
9908,24619,Blind Horizon,2003-12-14,5000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
9911,26774,The Blood on Satan's Claw,1971-01-01,140000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]"
9924,9674,Ringu 0,2000-01-22,6000000.0,"[{'id': 27, 'name': 'Horror'}]"
9929,14689,Hawaii,1966-10-10,15000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}, {'id': 10749, 'name': 'Romance'}]"
9937,14842,44 Minutes: The North Hollywood Shoot-Out,2003-01-01,10000000.0,"[{'id': 28, 'name': 'Action'}]"
9940,32085,Vincent,1982-01-01,60000.0,"[{'id': 16, 'name': 'Animation'}, {'id': 14, 'name': 'Fantasy'}]"
9952,775,A Trip to the Moon,1902-09-01,5985.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]"
9959,9636,Control,2004-12-07,6800000.0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]"
9965,69069,The Chant of Jimmie Blacksmith,1978-06-21,1380000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]"
9975,84084,Wilson,1944-08-01,2995000.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10402, 'name': 'Music'}]"
9977,7453,The Hitchhiker's Guide to the Galaxy,2005-01-15,50000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 878, 'name': 'Science Fiction'}]"
9987,10065,The Amityville Horror,2005-04-15,19000000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]"
9991,22033,Cry of the Banshee,1970-07-22,500000.0,"[{'id': 27, 'name': 'Horror'}]"
9996,9393,Before the Fall,2004-07-04,4500000.0,"[{'id': 18, 'name': 'Drama'}]"
9997,16972,The Frisco Kid,1979-07-06,9200000.0,"[{'id': 37, 'name': 'Western'}, {'id': 35, 'name': 'Comedy'}]"
10005,8976,A Lot Like Love,2005-04-22,30000000.0,"[{'id': 35, 'name': 'Comedy'}]"
10010,11679,xXx: State of the Union,2005-04-27,60000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]"
10012,1495,Kingdom of Heaven,2005-05-03,130000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]"
10013,10066,House of Wax,2005-04-30,40000000.0,"[{'id': 27, 'name': 'Horror'}]"
10014,1640,Crash,2004-01-13,6500000.0,"[{'id': 18, 'name': 'Drama'}]"
10024,43881,San Francisco,1936-06-26,1300000.0,"[{'id': 10402, 'name': 'Music'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
10031,31414,Satantango,1994-02-08,1500000.0,"[{'id': 18, 'name': 'Drama'}]"
10044,48130,Edges of the Lord,2001-01-01,7500000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
10052,18050,The Keys of the Kingdom,1944-12-15,3000000.0,"[{'id': 18, 'name': 'Drama'}]"
10061,10027,Unleashed,2005-02-02,45000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]"
10068,1279,Samaritan Girl,2004-02-10,1000000.0,"[{'id': 18, 'name': 'Drama'}]"
10069,1895,Star Wars: Episode III - Revenge of the Sith,2005-05-17,113000000.0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]"
10070,9981,Kicking & Screaming,2005-05-13,45000000.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]"
10071,4379,Monster-in-Law,2005-05-13,43000000.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]"
10083,27,9 Songs,2004-07-16,1000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]"
10089,953,Madagascar,2005-05-25,75000000.0,"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}]"
10092,13064,Airborne,1993-09-17,2600000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}]"
10095,12700,Dominion: Prequel to the Exorcist,2005-05-20,30000000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]"
10096,9291,The Longest Yard,2005-05-19,82000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
10098,34309,Most Wanted,1997-10-10,25000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]"
10099,921,Cinderella Man,2005-06-02,88000000.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]"
10100,9779,The Sisterhood of the Traveling Pants,2005-06-01,25000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]"
10101,9787,Lords of Dogtown,2005-06-03,25000000.0,"[{'id': 18, 'name': 'Drama'}]"
10104,787,Mr. & Mrs. Smith,2005-06-07,110000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
10105,14199,The Adventures of Sharkboy and Lavagirl,2005-06-10,50000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 878, 'name': 'Science Fiction'}]"
10107,21295,The Honeymooners,2005-06-10,27000000.0,"[{'id': 35, 'name': 'Comedy'}]"
10108,20651,Parineeta,2005-06-10,6250000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10769, 'name': 'Foreign'}]"
10111,12109,It's All Gone Pete Tong,2004-09-12,2000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}]"
10115,18289,Godzilla vs. Biollante,1989-12-16,5000000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]"
10120,11620,Quo Vadis,1951-11-08,8250000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}]"
10122,272,Batman Begins,2005-06-10,150000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]"
10124,15767,Godzilla: Final Wars,2004-12-04,19500000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 14, 'name': 'Fantasy'}, {'id': 53, 'name': 'Thriller'}]"
10132,11451,Herbie Fully Loaded,2005-06-22,50000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10749, 'name': 'Romance'}]"
10134,11683,Land of the Dead,2005-06-24,15000000.0,"[{'id': 27, 'name': 'Horror'}]"
10135,9722,Bewitched,2005-06-21,85000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10749, 'name': 'Romance'}]"
10140,2994,Danger: Diabolik,1968-01-23,400000.0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]"
10143,9534,Ferpect Crime,2004-09-10,6000000.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]"
10148,28000,Somebody Up There Likes Me,1956-07-03,1920000.0,"[{'id': 18, 'name': 'Drama'}]"
10149,38731,An Unmarried Woman,1978-05-26,2515000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]"
10153,38046,Retrograde,2004-11-02,2000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]"
10174,34308,Modigliani,2004-05-18,12000000.0,"[{'id': 18, 'name': 'Drama'}]"
10176,11588,The I Inside,2004-01-15,8800000.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}]"
10177,74,War of the Worlds,2005-06-28,132000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]"
10179,39464,Godzilla vs. Hedorah,1971-07-24,250000.0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}]"
10182,1667,March of the Penguins,2005-01-26,8000000.0,"[{'id': 99, 'name': 'Documentary'}, {'id': 10751, 'name': 'Family'}]"
10187,7233,Rebound,2005-07-01,45000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]"
10190,9009,Dark Water,2005-06-27,30000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]"
10192,9738,Fantastic Four,2005-06-29,100000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]"
10193,14278,Murderball,2005-07-22,300000.0,"[{'id': 99, 'name': 'Documentary'}]"
10196,9522,Wedding Crashers,2005-07-14,40000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
10199,17599,The Hindenburg,1975-12-25,15000000.0,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
10203,1826,Russian Dolls,2005-06-15,13000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
10210,21115,Fighter In The Wind,2004-08-12,6000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]"
10215,10476,Hustle & Flow,2005-07-22,8000000.0,"[{'id': 18, 'name': 'Drama'}]"
10216,11309,Hardware,1990-09-14,1500000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]"
10221,1635,The Island,2005-07-20,126000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]"
10222,13341,Bad News Bears,2005-07-22,30000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]"
10226,11459,Sky High,2005-07-29,35000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]"
10227,10048,Stealth,2005-07-28,135000000.0,"[{'id': 28, 'name': 'Action'}]"
10228,11648,Must Love Dogs,2005-07-21,30000000.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]"
